Date,Currency,Category,Product,Rate_Type,Value,Source
2013-02-01,USD,Loans,Overdraft,Weighted Average on New Amount,6.486693714506354,NBC_Excel
2013-02-01,USD,Loans,Term Loans,Weighted Average on New Amount,14.588370720478105,NBC_Excel
2013-02-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.19649557271731863,NBC_Excel
2013-02-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.408009328439178,NBC_Excel
2013-02-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.176684654157393,NBC_Excel
2013-02-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,4.104959683493129,NBC_Excel
2013-02-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,20.46250240485581,NBC_Excel
2013-02-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,8.01461566203531,NBC_Excel
2013-02-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,39.6129439360329,NBC_Excel
2013-02-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,11.734236018965307,NBC_Excel
2013-03-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.12078678717219503,NBC_Excel
2013-03-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-03-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,1.0980444807577838,NBC_Excel
2013-03-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,6.0510769600402465,NBC_Excel
2013-03-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-03-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-03-01,KHR,Loans,Overdraft,Weighted Average on New Amount,0.0,NBC_Excel
2013-03-01,KHR,Loans,Term Loans,Weighted Average on New Amount,29.85364321491823,NBC_Excel
2013-03-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.09651962111798476,NBC_Excel
2013-03-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-03-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.1479380682555977,NBC_Excel
2013-03-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.7099270238812,NBC_Excel
2013-03-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-03-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,20.399999999999995,NBC_Excel
2013-03-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,23.28985901381235,NBC_Excel
2013-03-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.66052653305561,NBC_Excel
2013-03-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.07873317175877997,NBC_Excel
2013-03-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.13501494275753884,NBC_Excel
2013-03-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.6013593173445211,NBC_Excel
2013-03-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.2766676324012116,NBC_Excel
2013-03-01,USD,Loans,Credit Card,Weighted Average on New Amount,18.154203845989212,NBC_Excel
2013-03-01,USD,Loans,Other Loans,Weighted Average on New Amount,7.824106032563112,NBC_Excel
2013-03-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.716466859222451,NBC_Excel
2013-03-01,USD,Loans,Term Loans,Weighted Average on New Amount,14.132688111716712,NBC_Excel
2013-03-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.17374347289391606,NBC_Excel
2013-03-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.433506159554276,NBC_Excel
2013-03-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.102764254133302,NBC_Excel
2013-03-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,4.02599232789189,NBC_Excel
2013-03-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,19.881323961435918,NBC_Excel
2013-03-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.498931183318162,NBC_Excel
2013-03-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.551102693881957,NBC_Excel
2013-03-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,11.214578551072002,NBC_Excel
2013-04-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.11845000279422473,NBC_Excel
2013-04-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-04-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,0.9972832062475403,NBC_Excel
2013-04-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,5.881582338648283,NBC_Excel
2013-04-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-04-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-04-01,KHR,Loans,Overdraft,Weighted Average on New Amount,0.0,NBC_Excel
2013-04-01,KHR,Loans,Term Loans,Weighted Average on New Amount,30.004437402653384,NBC_Excel
2013-04-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.3781767415016541,NBC_Excel
2013-04-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-04-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.0909903682761817,NBC_Excel
2013-04-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.730287712721715,NBC_Excel
2013-04-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-04-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,20.399999999999995,NBC_Excel
2013-04-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,24.0,NBC_Excel
2013-04-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.675899836832066,NBC_Excel
2013-04-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.1384430596940914,NBC_Excel
2013-04-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.18867494642759924,NBC_Excel
2013-04-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.5754435645948281,NBC_Excel
2013-04-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.2539169520913194,NBC_Excel
2013-04-01,USD,Loans,Credit Card,Weighted Average on New Amount,21.930121961411523,NBC_Excel
2013-04-01,USD,Loans,Other Loans,Weighted Average on New Amount,8.794664290773833,NBC_Excel
2013-04-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.206970352514913,NBC_Excel
2013-04-01,USD,Loans,Term Loans,Weighted Average on New Amount,12.90744896267268,NBC_Excel
2013-04-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.1938539858288749,NBC_Excel
2013-04-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.510766609160773,NBC_Excel
2013-04-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.0871046015459287,NBC_Excel
2013-04-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,3.961449058536208,NBC_Excel
2013-04-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,20.226269706120014,NBC_Excel
2013-04-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.494388338985838,NBC_Excel
2013-04-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.383924090024735,NBC_Excel
2013-04-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,11.316234632960875,NBC_Excel
2013-05-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.12510351969133096,NBC_Excel
2013-05-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-05-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,1.057881631615137,NBC_Excel
2013-05-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,6.114561872310988,NBC_Excel
2013-05-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-05-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-05-01,KHR,Loans,Overdraft,Weighted Average on New Amount,0.0,NBC_Excel
2013-05-01,KHR,Loans,Term Loans,Weighted Average on New Amount,30.05158434382959,NBC_Excel
2013-05-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.34766936858142194,NBC_Excel
2013-05-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-05-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.0824131472236402,NBC_Excel
2013-05-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.674027842764809,NBC_Excel
2013-05-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-05-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-05-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,24.0,NBC_Excel
2013-05-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.752118656322956,NBC_Excel
2013-05-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.13303275070684004,NBC_Excel
2013-05-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.15252211371067476,NBC_Excel
2013-05-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.5421979115550282,NBC_Excel
2013-05-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.465238064608821,NBC_Excel
2013-05-01,USD,Loans,Credit Card,Weighted Average on New Amount,17.161540976863996,NBC_Excel
2013-05-01,USD,Loans,Other Loans,Weighted Average on New Amount,8.301876829361616,NBC_Excel
