date,term_loan_rate,term_deposit_rate,spread
2013-01-01,11.53469900531493,4.051421348259762,7.483277657055169
2013-02-01,11.734236018965309,4.104959683493129,7.62927633547218
2013-03-01,11.214578551072002,4.02599232789189,7.188586223180112
2013-04-01,11.316234632960876,3.961449058536208,7.354785574424668
2013-05-01,11.221601509416772,4.022812197577835,7.1987893118389366
2013-06-01,10.97852956508333,3.992540835169288,6.985988729914041
2013-07-01,11.038427744238437,4.028252846964612,7.010174897273824
2013-08-01,10.872108599442132,4.130523263020031,6.7415853364221014
2013-09-01,10.74058201028045,4.226182278347287,6.514399731933163
2013-10-01,10.491089766702087,4.151080461704005,6.340009304998082
2013-11-01,10.516617128381204,4.089473401891349,6.427143726489856
2013-12-01,10.80108601661903,4.107680756992072,6.6934052596269575
2014-01-01,10.019639639610292,3.972225953675794,6.047413685934497
2014-02-01,10.232349550850234,4.005467260488285,6.226882290361949
2014-03-01,10.303313530280816,4.089148249467569,6.214165280813247
2014-04-01,10.790047773146458,4.0683852089504295,6.721662564196029
2014-05-01,10.649211340590048,4.06154123403235,6.587670106557698
2014-06-01,10.626406288569488,3.998835683697992,6.6275706048714955
2014-07-01,10.56197773554122,3.989744991705265,6.572232743835954
2014-08-01,10.55825768434247,4.0618318393701065,6.4964258449723635
2014-09-01,10.536341221236562,4.0216252754688835,6.514715945767678
2014-10-01,10.644706342620577,4.030256137589532,6.614450205031044
2014-11-01,10.659691239795489,4.042927821526879,6.61676341826861
2014-12-01,10.65790182873262,4.152175269968918,6.505726558763701
2015-01-01,10.652988045556713,4.021583162701323,6.6314048828553895
2015-02-01,10.834164814560172,4.044584018163426,6.789580796396746
2015-03-01,10.84776829706196,4.078823371561649,6.7689449255003105
2015-04-01,10.835565161345787,4.166762100878843,6.668803060466944
2015-05-01,10.780096985199624,4.185303286020624,6.594793699178999
2015-06-01,10.79887271995994,4.161135291591591,6.637737428368349
2015-07-01,10.8372239969179,4.246813598366713,6.590410398551186
2015-08-01,10.624525015606675,4.33106956209199,6.293455453514685
2015-09-01,10.74427422092322,4.365932888261502,6.378341332661718
2015-10-01,10.74762495221023,4.363607659094139,6.3840172931160915
2015-11-01,10.69617306262144,4.29478426512807,6.401388797493371
2015-12-01,10.77085623193994,4.405971407466149,6.364884824473791
2016-01-01,10.587584714051792,4.270736011839273,6.316848702212519
2016-02-01,10.622985687176978,4.336947108990335,6.286038578186643
2016-03-01,10.727910178733516,4.2842214756319414,6.443688703101575
2016-04-01,10.687767413709206,4.246607354080269,6.441160059628937
2016-05-01,10.793849087473609,4.32494306457583,6.468906022897778
2016-06-01,10.93052720711936,4.383294735793108,6.547232471326252
2016-07-01,10.842605717561469,4.316580366355229,6.52602535120624
2016-08-01,10.785284582066176,4.304790656108147,6.4804939259580285
2016-09-01,10.795964728171272,4.301054071898823,6.49491065627245
2016-10-01,10.762781148106686,4.337936014080293,6.424845134026393
2016-11-01,10.671063168076213,4.341283709968578,6.329779458107635
2016-12-01,10.605390059353264,4.467838520914828,6.137551538438435
2017-01-01,10.56045559978882,4.463794634021321,6.0966609657675
2017-02-01,10.291585848143889,4.45292128465704,5.838664563486849
2017-03-01,10.204163426271112,4.413503847475832,5.79065957879528
