date,term_loan_rate,term_deposit_rate,spread
2013-01-01,14.541092378208786,3.2400621000258782,11.301030278182907
2013-02-01,14.588370720478103,3.341841211207196,11.246529509270907
2013-03-01,14.132688111716712,3.2766676324012116,10.8560204793155
2013-04-01,12.90744896267268,3.2539169520913194,9.65353201058136
2013-05-01,12.761316580902736,3.465238064608821,9.296078516293916
2013-06-01,12.638167912033875,3.4469344248569893,9.191233487176886
2013-07-01,14.01804882766799,3.2771635565217165,10.740885271146272
2013-08-01,8.299102971835682,3.3261870581705404,4.972915913665141
2013-09-01,11.293759300618367,3.139246756361917,8.15451254425645
2013-10-01,10.26796231989042,3.5352667098975132,6.732695609992907
2013-11-01,10.717785925993056,3.2431755756933014,7.474610350299754
2013-12-01,9.165427574437787,3.300461222171918,5.864966352265869
2014-01-01,9.827807572545725,3.1060558705550685,6.721751701990656
2014-02-01,14.136942300219005,3.2469435984303368,10.889998701788668
2014-03-01,14.135177809280655,3.4131097174158187,10.722068091864838
2014-04-01,13.886106291617784,3.2188325697269553,10.66727372189083
2014-05-01,12.326234543679975,3.511186048193845,8.815048495486131
2014-06-01,12.267118918636788,3.2173541266076326,9.049764792029155
2014-07-01,12.624564313809062,3.2479609262953986,9.376603387513663
2014-08-01,12.61882895682257,3.4291051194095443,9.189723837413027
2014-09-01,12.54746824209012,3.1516310615887817,9.395837180501339
2014-10-01,12.657158077540824,3.326381214053743,9.330776863487081
2014-11-01,11.618769578813827,3.220715311533277,8.39805426728055
2014-12-01,11.151014611134858,3.1015818479099413,8.049432763224917
2015-01-01,13.544464329259354,3.1017423512106923,10.442721978048661
2015-02-01,13.954527764294664,3.120974964685899,10.833552799608764
2015-03-01,14.46556434952769,3.333815128672694,11.131749220854998
2015-04-01,13.805955863708515,3.3613025429142978,10.444653320794217
2015-05-01,13.526717260111818,3.383357710444012,10.143359549667807
2015-06-01,12.82670889947902,3.1024061082104546,9.724302791268565
2015-07-01,12.985070584783266,3.45931391185585,9.525756672927416
2015-08-01,12.590288737680272,3.64022677601508,8.950061961665192
2015-09-01,11.949211758109133,3.4124794308872817,8.536732327221852
2015-10-01,12.185228245341024,3.1722297193223357,9.012998526018688
2015-11-01,11.16981532090021,3.251394190260041,7.918421130640168
2015-12-01,10.81505880968841,3.265908172495376,7.5491506371930335
2016-01-01,14.266537529843992,3.3110082989436385,10.955529230900353
2016-02-01,13.940617710569612,3.3451746101005804,10.595443100469032
2016-03-01,13.700449265927746,3.5459986798475676,10.154450586080179
2016-04-01,13.442309437255684,3.2581740654911173,10.184135371764567
2016-05-01,13.364819946764376,3.4679168372614413,9.896903109502935
2016-06-01,13.799567505378588,3.751458843323839,10.04810866205475
2016-07-01,12.605969147729992,3.495652306214736,9.110316841515257
2016-08-01,12.471834272884186,3.340926285782638,9.130907987101548
2016-09-01,12.406475876623333,3.5848309758798864,8.821644900743447
2016-10-01,11.997576529045377,3.542606335998145,8.454970193047231
2016-11-01,9.506238482933336,3.3819701101321855,6.124268372801151
2016-12-01,10.183248086323507,3.6752855502093023,6.507962536114205
2017-01-01,10.78261100837876,3.503252014851531,7.279358993527229
2017-02-01,10.74745012529118,3.5213157709182865,7.226134354372894
2017-03-01,12.568870313497303,3.4664163582618093,9.102453955235493
2017-04-01,11.922263329730752,3.4271730834269145,8.495090246303837
2017-05-01,10.487314881262035,3.564003835771967,6.923311045490069
2017-06-01,10.796872746994092,3.6547966494887394,7.1420760975053525
2017-07-01,11.14677857901729,3.445148489940191,7.701630089077099
2017-08-01,10.899850748298595,3.319573382117675,7.580277366180921
2017-09-01,10.57051076940945,3.573912374860651,6.9965983945487995
2017-10-01,8.759475055373596,3.33616404592931,5.423311009444285
2017-11-01,10.207831703953204,3.606937793360528,6.600893910592676
2017-12-01,9.91554863354693,3.3041639165244776,6.611384717022452
2018-01-01,8.038401182334722,3.281992952585391,4.756408229749331
2018-02-01,7.44808402980884,3.4055126256079475,4.042571404200893
2018-03-01,10.36911074797618,3.359880587673442,7.009230160302738
2018-04-01,9.438610922730424,3.2387444371382452,6.199866485592179
2018-05-01,9.59831611257482,3.4344911477987066,6.163824964776113
2018-06-01,9.20972275924042,3.663501919721501,5.546220839518918
2018-07-01,9.6147681977526,3.5596890204648832,6.055079177287716
2018-08-01,9.612790143214294,3.394873364948106,6.217916778266188
2018-09-01,9.874687063579136,3.222783940106487,6.65190312347265
2018-10-01,9.74799050164928,3.092645434003103,6.655345067646177
2018-11-01,9.444643734181064,3.2453113914976206,6.199332342683443
2018-12-01,9.635897260408036,3.351021929742949,6.284875330665088
2019-01-01,8.83235519873115,3.092520576754274,5.739834621976876
2019-02-01,9.37086522351212,3.3579260186676563,6.0129392048444625
2019-03-01,9.832744304396616,3.407491386790795,6.425252917605821
2019-04-01,9.380865259046203,3.3564299054480355,6.024435353598168
2019-05-01,9.603547244399683,3.394019231906794,6.209528012492889
2019-06-01,9.36828471539318,3.6088043091898,5.75948040620338
2019-07-01,9.614121308316124,3.6181855378525993,5.995935770463524
2019-08-01,9.82444492172928,3.553513264050274,6.2709316576790055
2019-09-01,9.262406102083688,3.279252176989423,5.983153925094264
2019-10-01,8.87568887743907,3.424108077774631,5.451580799664438
2019-11-01,9.28259574776205,3.642933257338845,5.6396624904232056
2019-12-01,8.722330091658941,3.441589240765431,5.28074085089351
2020-01-01,9.551750687207551,3.6977941065791784,5.853956580628373
2020-02-01,9.60382184012138,3.527984663097117,6.075837177024264
2020-03-01,9.40783553397002,3.3456108330173193,6.062224700952701
