date,USD_spread,KHR_spread,Sc_rolling_USD,Sc_rolling_KHR,P_dyn_USD,P_dyn_KHR,CRI_dyn_USD,CRI_dyn_KHR,CRI_dyn_System,CRI_static_USD,CRI_static_KHR,CRI_static_System
2016-01-01,10.955529230900352,19.640276150976916,11.160444292958974,24.152505895591233,0.17783952162325933,3.050321512043652e-07,0.16777868962239137,0.04079388130575876,0.14238172795906484,0.3651868712353763,0.3350486183528735,0.35915922065887573
2016-02-01,10.595443100469032,19.894847557397114,10.999584228389013,24.152505895591233,0.17009544880646832,0.0001607992219984089,0.17305305433656942,0.05282298997356906,0.14900704146396937,0.3122496644715256,0.3359237157087442,0.3169844747189693
2016-03-01,10.15445058608018,19.31729100190115,10.90638133406659,24.152505895591233,0.15346502475400947,2.6768276980448924e-05,0.16511585189977396,0.0528116593709081,0.1426550133940008,0.26243334425836584,0.3343240117145111,0.2768114777495949
2016-04-01,10.184135371764569,20.329455977473597,10.90638133406659,24.152505895591233,0.16109892646626534,0.00045866926210413883,0.1681158448606552,0.0530507941504479,0.14510283471861377,0.2652254384268605,0.3383574762299784,0.27985184598748414
2016-05-01,9.896903109502937,19.076830496928615,10.90638133406659,24.106461410165007,0.14682343348319793,1.6814758012850817e-05,0.1605542290037027,0.05357668836700364,0.13915872087636288,0.24151193361323067,0.33397930546784577,0.2600054079841537
2016-06-01,10.04810866205475,19.274614465430055,10.90638133406659,24.106461410165007,0.15986446512592378,3.2542253681877575e-05,0.16681148747432398,0.054362166605019364,0.14432162330046305,0.25308718616650117,0.33425269314097883,0.2693202875613967
2016-07-01,9.110316841515257,19.013246663652367,10.90638133406659,24.08788335303245,0.09428831316945141,1.5373126670548132e-05,0.13227869030042821,0.054425927445576526,0.11670813772945789,0.2076681474519729,0.3339086752397023,0.2329162530095188
2016-08-01,9.130907987101548,21.079547463556636,10.90638133406659,24.08788335303245,0.061811004705492834,0.003575279470450443,0.0931885780746273,0.05622314429455935,0.08579549131861372,0.20812609358772724,0.34729995774325617,0.23596086641883304
2016-09-01,8.821644900743447,19.28796501206114,10.90638133406659,24.08788335303245,0.03788717965737842,7.532401708298941e-05,0.07699569642164206,0.05710322625757125,0.0730172023888279,0.20278770423568923,0.3342744854036701,0.22908506046928542
2016-10-01,8.454970193047231,17.807349821728607,10.90638133406659,24.08788335303245,0.02251467712540489,1.010603540629873e-06,0.0679585917251293,0.05840933596835436,0.06604874057377431,0.1995533759976815,0.33338486044630816,0.22631967288740684
2016-11-01,6.124268372801151,18.5531135463241,10.90638133406659,24.075584463292337,0.0006628318192203331,1.1674710426401447e-05,0.05789690002840678,0.05958729552898888,0.058234979128523205,0.19730812407392898,0.333573906879551,0.22456128063505337
2016-12-01,6.507962536114205,13.999553218080788,10.90638133406659,24.013984611013434,0.0022556908517820107,1.1315393066979595e-12,0.06175375585246819,0.059958706424309866,0.06139474596683653,0.19731126313986283,0.3333333349399765,0.22451567749988557
2017-01-01,7.279358993527229,26.649026710325508,10.90638133406659,23.72305348069794,0.006271699388293528,0.8415591855604027,0.06353739245738999,0.4902328185696229,0.14887647767983658,0.19737504382234752,0.7708488187659428,0.3120697988110666
