date,kappa_usd,theta_usd,sigma_usd,kappa_khr,theta_khr,sigma_khr
2014-12-01,10.843603621194033,8.807659526051772,7.611969374419579,1.3971953099190123e-06,-2170031.966843817,2.544847560659403
2015-01-01,13.5412937762176,8.852263590333987,8.322866771387673,2.39565335638944,22.336660563196055,3.6840778071207563
2015-02-01,13.93234832960099,8.867556279293616,8.46150937173765,2.088848426239986,21.978526015066112,3.66852680830907
2015-03-01,12.177022896435522,8.96881664365317,8.244147862035327,2.1509685042663533,21.795578759271,3.645555627744504
2015-04-01,11.43704142594964,9.013544608425715,8.100756157075704,2.1445017900754446,21.699950772716416,3.6429592951751673
2015-05-01,11.052518949106828,9.05098728719651,8.031744601209727,2.069366067896657,21.384697325485448,3.6348211017471033
2015-06-01,11.05563809723607,8.950186112873464,7.838294752000238,2.0815871749729986,21.372230456828184,3.636354817624687
2015-07-01,7.631757679653171,9.400054743902244,5.231381471125875,1.8746805561154978,21.13535091093494,3.6301572159701454
2015-08-01,5.690071584103465,9.26895961930991,4.773694704950001,1.5769156888985618,20.498253836997318,3.6500199229919597
2015-09-01,6.460989739499492,9.400346824090601,4.611823902039136,1.7064082950462167,20.14766254775131,3.581923584745554
2015-10-01,6.991162443923559,9.441862390224667,4.680870456546742,2.1447935284199264,20.419210533381445,3.6369742675057353
2015-11-01,9.690448075697365,9.518412381961943,4.560222856535016,1.7897995289495094,19.24468866782385,3.928325354521819
2015-12-01,12.163422697702106,9.503015072491946,4.910669189355666,0.6182836467852748,14.136673194454533,3.9872154518544054
2016-01-01,9.134534726557073,9.487870133083717,4.331933720655089,3.991520911561845,20.04251875374405,5.253218351080088
2016-02-01,9.346961692951725,9.475198158236566,4.341958520999654,4.62492960898905,19.999800048180738,5.312967974526821
2016-03-01,10.02380093074493,9.440492234166683,4.3874362813637715,4.967872295002442,19.876642953872782,5.381061230533769
2016-04-01,8.07864844451099,9.579066962953991,3.9627410417482283,6.181179929944991,19.876371546853672,5.51659067796145
2016-05-01,8.175774416879081,9.591647761166826,3.9727893559047174,7.215856528096392,19.713092346458563,5.723219408755528
2016-06-01,8.034335258243432,9.613749817734066,3.964621019487894,8.665421223751093,19.626945183517613,5.85582916990521
2016-07-01,8.45978469217348,9.576299517668037,4.070229237916232,11.798066114963817,19.485924285011052,6.017822488635254
2016-08-01,8.346875931109537,9.556690054117194,4.060612655197873,15.239916025561623,19.563613625023294,6.8503940553986755
2016-09-01,8.132838367401597,9.523182307586602,4.061256797692979,18.340316008456565,19.490659804883585,7.374980088503736
2016-10-01,7.835824565748066,9.551177535610288,3.9568064330345853,19.38366647947397,19.358871024901436,7.756688321568506
2016-11-01,5.909940795893954,9.333261991730787,4.4129985704789965,15.176576305429988,19.438766250422606,6.634251027798353
2016-12-01,2.9315501298011806,8.675486956057279,3.5966654078906064,8.01440263243199,18.814109913622005,6.883232990913656
2017-01-01,3.6225905058775894,8.700677129510872,3.635809007909849,326.41220906881654,19.399057745293394,56.431353154078536
2017-02-01,3.8890547220131304,8.525738440082012,3.610696997591668,335.7570799526246,19.12069025518887,63.3394546877619
2017-03-01,5.085031441284027,8.800426263850781,3.9733703083310576,334.4536916511579,18.879682098535604,66.25831363198418
2017-04-01,5.335397402597341,8.711356310975843,4.023700302070731,315.9553388279311,18.529857342113345,72.6469436605177
2017-05-01,5.106189990897326,8.487956689819125,4.2333986587826615,30.275152848884662,18.157517430534377,24.227831613615578
2017-06-01,4.940736069934133,8.41048953023762,4.211524050951527,18.74456262372154,17.75158388512373,20.434272521423228
2017-07-01,4.946065618365871,8.453241087078503,4.209858936203862,15.086535990560828,17.467577459508398,19.07121002010601
2017-08-01,4.761459617183711,8.432684157781997,4.188707833828735,12.245997116148619,17.054051840861344,18.32197568503924
2017-09-01,4.4233922520803866,8.233710963986876,4.171798787182745,10.169230269963492,16.57652841523666,17.5606353643294
2017-10-01,3.1747202172711013,7.963716333611485,4.210603180721616,8.698193517653467,16.334152943006167,16.986903163521916
2017-11-01,3.7455531542817067,8.168141572000138,4.309783249990721,7.598553814732092,16.146711824676807,16.571326850660824
2017-12-01,2.8565110486551757,7.38905081254617,3.177506132868217,6.516110011912943,15.403180924174052,15.771906767499818
2018-01-01,2.294502179350375,6.633113298690927,3.4534733763166017,6.3491036694124645,14.97651621286102,15.648571231177145
2018-02-01,1.616864731042638,5.729873264805249,3.4349341139281298,6.25132942864548,14.638521095666531,15.601478186195328
2018-03-01,4.514041357046665,7.131908524706821,4.286669684140209,6.067770990188894,13.915318842134088,15.567355112729068
2018-04-01,5.012815959074052,6.963424550673099,4.376136376025474,5.973922796242834,13.587075689856203,15.528968498348593
2018-05-01,6.089862141333002,6.849092667194514,4.408093276811535,6.115484527821638,13.169524708446206,15.507032206396302
2018-06-01,6.1633330023700665,6.718751082153213,4.476991387310814,6.218937445711003,12.716155886265323,15.534063665845064
2018-07-01,7.349389885220033,6.657577976946261,4.551010986256767,6.814668798874237,12.014267243004166,15.404422471974495
2018-08-01,8.588723837564572,6.594384244380187,4.6556718207213414,7.02698864067089,11.568354809400716,15.5471423282153
