date,term_loan_rate,term_deposit_rate,spread
2013-01-01,29.697627501831285,6.739444642395166,22.958182859436118
2013-02-01,29.671922358863096,6.673448310605128,22.998474048257968
2013-03-01,29.66052653305561,6.7099270238812,22.95059950917441
2013-04-01,29.675899836832063,6.730287712721715,22.945612124110347
2013-05-01,29.752118656322956,6.674027842764809,23.07809081355815
2013-06-01,29.7534151493461,6.712087632115178,23.041327517230922
2013-07-01,29.751649271029823,6.723842804229122,23.0278064668007
2013-08-01,29.575620970159168,6.506228043138249,23.06939292702092
2013-09-01,29.50402328924801,6.468972046789697,23.035051242458312
2013-10-01,29.51608356519359,6.516149751584921,22.99993381360867
2013-11-01,29.488394301816513,6.472444911945622,23.01594938987089
2013-12-01,29.39585134327577,6.406964588315016,22.988886754960753
2014-01-01,29.43099895543423,6.318236478519116,23.112762476915115
2014-02-01,29.39010295252379,6.082693216921378,23.307409735602413
2014-03-01,29.361345167088945,6.401432211399011,22.959912955689934
2014-04-01,29.323852977625094,6.417059829041582,22.90679314858351
2014-05-01,29.3347696887528,6.453626538863058,22.88114314988974
2014-06-01,29.295724814686096,6.562061200130575,22.73366361455552
2014-07-01,29.05677501602927,6.560239018482994,22.496535997546275
2014-08-01,29.20096723564289,6.824153848095717,22.376813387547173
2014-09-01,29.059401994109113,6.905597674896417,22.153804319212696
2014-10-01,28.7171047528011,6.7704132017402285,21.94669155106087
2014-11-01,28.456562103758515,6.880414155285969,21.576147948472546
2014-12-01,26.580918251989505,6.488160662450423,20.092757589539083
2015-01-01,27.795669422125957,6.814153726254498,20.981515695871458
2015-02-01,27.55449143901628,6.848014402431282,20.706477036585
2015-03-01,27.329347929172947,7.028527255718379,20.300820673454567
2015-04-01,27.261450170856023,7.047913195708054,20.213536975147967
2015-05-01,27.13631419801289,7.042129354531479,20.09418484348141
2015-06-01,26.822778531643937,7.038292036218969,19.784486495424968
2015-07-01,26.58722419495384,6.9447982080567305,19.64242598689711
2015-08-01,26.030828708992548,6.981811281527817,19.049017427464733
2015-09-01,25.534205471733905,6.918041385079297,18.616164086654607
2015-10-01,25.60290588681745,6.918581242830774,18.684324643986677
2015-11-01,25.31549489804664,7.009825552589014,18.305669345457627
2015-12-01,24.099707489150767,6.635593756478963,17.464113732671805
2016-01-01,24.36370594682001,6.891424433735255,17.472281513084752
2016-02-01,24.1979403939614,6.784557057707058,17.41338333625434
2016-03-01,24.291270312588047,7.0985426918524706,17.192727620735575
2016-04-01,24.29247070744337,6.6846000515293005,17.60787065591407
2016-05-01,24.178367655508964,7.0860838442983685,17.092283811210596
2016-06-01,24.212233444524777,7.092756669403466,17.119476775121313
2016-07-01,24.215370821690826,6.833898175994141,17.381472645696686
2016-08-01,24.13165754582677,6.669373048392131,17.462284497434638
2016-09-01,23.71724169844112,6.732862130822184,16.984379567618937
2016-10-01,23.36092889751615,6.705517902574264,16.655410994941885
2016-11-01,23.14229723947219,6.5245517161435185,16.617745523328672
2016-12-01,22.19217874701512,6.613441182527824,15.578737564487296
2017-01-01,22.447947628458135,6.615640426723419,15.832307201734714
2017-02-01,21.978027081165983,6.575913248876379,15.402113832289604
2017-03-01,21.362714546678344,7.0159484811466735,14.346766065531671
2017-04-01,20.724182097564277,6.855962640666996,13.868219456897283
2017-05-01,20.03790104485066,6.928175623975337,13.109725420875323
2017-06-01,19.570227936716684,6.7715009954695855,12.798726941247098
2017-07-01,19.09652662924776,6.403848302757524,12.692678326490235
2017-08-01,18.48914219860526,6.294967146978876,12.194175051626384
2017-09-01,18.089627974566525,6.376649330412657,11.712978644153868
2017-10-01,17.61500585792865,6.348315561868659,11.266690296059991
2017-11-01,17.213160312800646,6.259805063805706,10.95335524899494
2017-12-01,16.549296229447798,5.866893471040484,10.682402758407314
2018-01-01,15.64781040305427,5.850133483888042,9.797676919166229
2018-02-01,15.962238208557714,5.9269959386622775,10.035242269895438
2018-03-01,15.621660309044143,5.86166604753602,9.759994261508123
2018-04-01,15.211741338937887,6.162658528942079,9.04908280999581
2018-05-01,15.122983973218126,6.162998018372971,8.959985954845155
2018-06-01,14.629999894266629,6.1095275541990075,8.52047234006762
2018-07-01,14.616747590743447,6.117064589483809,8.499683001259637
2018-08-01,14.217557534845282,6.09211917381302,8.125438361032263
2018-09-01,13.997872907790802,6.118050957241424,7.879821950549378
2018-10-01,13.784029438491348,6.081804880849515,7.702224557641833
2018-11-01,13.766358745806276,5.926642006488421,7.839716739317855
2018-12-01,13.501003578594169,5.8729698632618135,7.628033715332355
2019-01-01,13.228600248063078,5.944938620832034,7.2836616272310435
2019-02-01,13.056940532006491,5.901876305568866,7.155064226437625
2019-03-01,12.738374568358656,6.008543308325203,6.729831260033453
2019-04-01,12.12922859833778,5.951191063214174,6.1780375351236065
2019-05-01,11.937374162859106,5.784287947273991,6.153086215585115
2019-06-01,11.686817662018306,5.463096810412914,6.223720851605393
2019-07-01,11.37630873903431,5.695561506030964,5.680747233003345
2019-08-01,11.204185670058529,5.68883594244792,5.515349727610609
2019-09-01,11.146224539564969,5.589627240964644,5.556597298600325
2019-10-01,11.03581557374906,5.508823507078557,5.526992066670503
2019-11-01,10.881474522922364,5.499991765097949,5.381482757824415
2019-12-01,10.617463000747517,5.418341812019953,5.199121188727563
2020-01-01,10.69676393714665,5.64283265987707,5.053931277269581
2020-02-01,10.605421208147655,5.66937193900782,4.936049269139835
2020-03-01,10.65839517476233,5.776903478855992,4.8814916959063375
2020-04-01,10.538266006333323,5.926752846941467,4.611513159391857
2020-05-01,10.435611662892482,5.790680212624253,4.644931450268229
2020-06-01,10.438904738846908,5.708175041529541,4.730729697317367
2020-07-01,10.4407180957658,5.527107922716136,4.913610173049663
2020-08-01,10.454864546238577,5.588335745901666,4.866528800336911
2020-09-01,10.4454855261033,5.618415049913153,4.827070476190146
2020-10-01,10.433260287335196,5.547592165499582,4.885668121835614
2020-11-01,10.713785392725104,5.63265919590537,5.081126196819734
2020-12-01,10.540512179133993,5.661601216590433,4.87891096254356
2021-01-01,10.629417838447932,5.72731017455913,4.902107663888802
2021-02-01,10.617220614996144,5.687882785939871,4.929337829056274
2021-03-01,10.557390715651612,5.7491852849917295,4.808205430659883
