parameter,USD,KHR
kappa,1.845621630299112,0.45971022141955403
theta,6.436673913287706,8.074890982598331
sigma,3.6577244863657103,6.179403739741872
se_kappa,0.5481277134071781,0.24733402792439743
se_theta,0.5580640078526377,4.1190272208108265
se_sigma,0.22235170002769894,0.3565522941072231
half_life_months,4.506755897399901,18.093498423930285
log_likelihood,-216.75126071191016,-306.69457788730654
