smoothed_regime1_usd,smoothed_regime2_usd,smoothed_regime1_khr,smoothed_regime2_khr,date
0.127907029079717,0.872092970920283,0.02351363686122281,0.9764863631387772,2013-01-01
0.04074513928912408,0.959254860710876,0.0026231177706696786,0.9973768822293303,2013-02-01
0.03133756219677949,0.9686624378032205,0.0007970034294392406,0.9992029965705607,2013-03-01
0.0926159323342542,0.9073840676657458,0.0006750855320277708,0.9993249144679722,2013-04-01
0.0751600086423772,0.9248399913576228,0.0005819399883043577,0.9994180600116958,2013-05-01
0.21283625908509618,0.7871637409149038,0.0005998015467437405,0.9994001984532562,2013-06-01
0.9960338824201387,0.003966117579861371,0.0006492886449165888,0.9993507113550835,2013-07-01
0.9999999999999989,9.99999999999999e-16,0.0007396059160137318,0.9992603940839863,2013-08-01
0.9999999998785263,1.2147372050273109e-10,0.000770314769405951,0.9992296852305941,2013-09-01
0.9813753624984284,0.018624637501571676,0.0010032047799943826,0.9989967952200056,2013-10-01
0.9302493233973503,0.06975067660264966,0.0006040199967864868,0.9993959800032136,2013-11-01
0.990971275059937,0.009028724940063102,0.0006097081096228468,0.9993902918903772,2013-12-01
0.9498884254330409,0.0501115745669592,0.0007418652455595531,0.9992581347544405,2014-01-01
0.9999999999999982,1.8238565857247354e-15,0.0008385679476567644,0.9991614320523432,2014-02-01
0.3690901816975357,0.6309098183024643,0.0006220090851577016,0.9993779909148423,2014-03-01
0.34791665277522993,0.6520833472247701,0.0009267473386411474,0.9990732526613588,2014-04-01
0.7888812748244253,0.21111872517557462,0.0008242857488456959,0.9991757142511543,2014-05-01
0.24523539444601447,0.7547646055539856,0.0009595083208715574,0.9990404916791285,2014-06-01
0.0984300780689727,0.9015699219310274,0.0011296193328061439,0.9988703806671938,2014-07-01
0.034515076211755,0.9654849237882449,0.0030795457040198385,0.9969204542959802,2014-08-01
0.034191731686016885,0.9658082683139831,0.017951700664981543,0.9820482993350184,2014-09-01
0.04241764617860044,0.9575823538213996,0.04055604473109982,0.9594439552689003,2014-10-01
0.13027483000677578,0.8697251699932242,0.16550713711443368,0.8344928628855663,2014-11-01
0.25442676383874424,0.7455732361612558,0.9713593983060869,0.028640601693913133,2014-12-01
0.999974797939684,2.520206031606812e-05,0.9930729396459066,0.006927060354093455,2015-01-01
0.4340182412200319,0.565981758779968,0.16751138984893255,0.8324886101510673,2015-02-01
