Date,USD_Spread,KHR_Spread,P_crisis_USD,P_crisis_KHR,CRI_USD,CRI_KHR,CRI_System_LoanShare,CRI_System_Equal
2013-01-01,11.301030278182909,23.53548597937094,0.01211626461440729,0.00692005639602844,0.20336543683140476,0.33679336153134753,0.2300510217713933,0.27007939918137613
2013-02-01,11.246529509270909,23.732448776870477,0.4515804755717351,0.2871974199103903,0.4230975423100687,0.47693204328852845,0.4338644425057607,0.45001479279929857
2013-03-01,10.8560204793155,23.80256625487798,0.43275262925386737,0.32517218245243396,0.41368361915113483,0.4959194245595503,0.4301307802328179,0.45480152185534256
2013-04-01,9.65353201058136,24.1228550640051,0.3046198215084672,0.3391707853182566,0.3496172152784347,0.5029187259924617,0.3802775174212401,0.4262679706354482
2013-05-01,9.296078516293916,23.937022471518603,0.05895298342496502,0.40570589811155744,0.22678379623668363,0.536186282389112,0.2886642934671693,0.38148503931289784
2013-06-01,9.191233487176886,24.061462416770137,0.030294639790920508,0.36663018025839544,0.21245462441966137,0.516648423462531,0.2732933842282353,0.3645515239410962
2013-07-01,10.740885271146272,23.68699782333392,0.024519909876480783,0.3926710600174106,0.2095672594624415,0.5296688633420386,0.27358758023836094,0.36961806140224
2013-08-01,4.972915913665141,23.296102030710458,0.2702920623662629,0.3162266528690514,0.3324533357073326,0.491446659767859,0.3642520005194379,0.4119499977375958
2013-09-01,8.15451254425645,23.355459816023917,7.556285930299111e-09,0.24408431920192775,0.19730730830234408,0.4553754929342972,0.24892094522873473,0.3263414006183206
2013-10-01,6.732695609992907,24.036691673926725,0.00201615048971604,0.2544393809902785,0.19831537976905914,0.4605530238284726,0.25076290858094186,0.32943420179876587
2013-11-01,7.474610350299754,24.02029315427324,1.8939256814287653e-05,0.38744476297878794,0.19731677415260826,0.5270557148227273,0.2632645622866321,0.3621862444876678
2013-12-01,5.864966352265869,24.273356747116143,0.00025955132030208716,0.3839960166867429,0.19743708018435216,0.5253313416767047,0.2630159324828227,0.3613842109305284
2014-01-01,6.721751701990656,23.651351301630125,5.317125381099075e-07,0.43807703343457594,0.19730757038047017,0.5523718500506213,0.2683204263145004,0.37483971021554574
2014-02-01,10.889998701788668,24.24145839034962,1.8167248338141206e-05,0.3092849596823106,0.1973163881483702,0.4879758131744886,0.25544827315359386,0.3426461006614294
2014-03-01,10.722068091864838,23.938160017901374,0.31510899171862006,0.43117366947195657,0.3548618003835111,0.5489201680693117,0.39367347392067126,0.4518909842264114
2014-04-01,10.66727372189083,23.192449093445155,0.2648711499931139,0.3668656734637201,0.3297428795207581,0.5167661700651933,0.36714753762964514,0.4232545247929757
2014-05-01,8.815048495486131,23.373801435829453,0.2494068135492744,0.22656056629599697,0.3220107112988383,0.4466136164813318,0.34693129233533704,0.38431216389008505
2014-06-01,9.049764792029157,22.815767238963467,0.010795216716671718,0.2576850420268383,0.20270491288253698,0.46217585434675246,0.2545991011753801,0.33244038361464473
2014-07-01,9.376603387513663,22.62566022390175,0.018216386646607408,0.16919439018478766,0.20641549784750482,0.41793052842572714,0.2487185039631493,0.312173013136616
2014-08-01,9.189723837413029,23.02415652358111,0.03545898436843831,0.14414264589192238,0.21503679670842027,0.4054046562792945,0.25311036862259517,0.3102207264938574
2014-09-01,9.39583718050134,21.518737603152815,0.02444403081342561,0.1996803825796677,0.20952931993091392,0.43317352462316716,0.2542581608693646,0.32135142227704055
2014-10-01,9.33077686348708,20.736278516198137,0.036793864703155044,0.04740318795772147,0.21570423687577864,0.35703492731219405,0.24397037496306173,0.28636958209398633
2014-11-01,8.39805426728055,20.557181369346782,0.03243800677813624,0.017827761890122584,0.21352630791326924,0.3422472142783946,0.23927048918629434,0.27788676109583194
2014-12-01,8.049432763224917,17.724083307517976,0.0038785140336096147,0.013927691213922566,0.19924656154100592,0.3402971789402946,0.22745668502086366,0.26977187024065025
2015-01-01,10.44272197804866,20.840298123958,0.001500704349256643,8.591381001110676e-05,0.19805765669882944,0.33337629023833887,0.22512138340673132,0.26571697346858414
2015-02-01,10.833552799608764,20.39545620492744,0.19136042672789144,0.020494793313793336,0.2929875178881468,0.34358072999023,0.30310616030856347,0.31828412393918837
2015-03-01,11.131749220854998,20.491832190989225,0.2977704765632474,0.011061558504116609,0.3461925428058248,0.3388641125853916,0.3447268567617382,0.3425283276956082
2015-04-01,10.444653320794217,20.550248020206908,0.39364528182168324,0.012700415727741055,0.39412994543504276,0.33968354119720384,0.38324066458747497,0.3669067433161233
2015-05-01,10.143359549667808,20.17134565484946,0.19182149177450314,0.013792805948725118,0.29321805041145266,0.3402297363076959,0.3026203875907013,0.3167238933595743
2015-06-01,9.724302791268563,20.349693847870373,0.1282070129502515,0.00794390632298203,0.26141081099932684,0.33730528649482433,0.27658970609842637,0.2993580487470756
2015-07-01,9.525756672927416,19.95990797360191,0.06658958068274501,0.010350013631365895,0.23060209486557362,0.33850834014901626,0.25218334392226216,0.28455521750729496
2015-08-01,8.950061961665192,19.121383459476796,0.04692223878665891,0.005739818861230428,0.22076842391753057,0.33620324276394853,0.2438553876868142,0.27848583334073956
2015-09-01,8.536732327221852,18.971402864467382,0.014653655877862715,0.0014001870642069703,0.20463413246313247,0.3340334268654368,0.23051399134359335,0.2693337796642846
2015-10-01,9.012998526018688,19.61714950300623,0.005525371542485447,0.0010655959749429345,0.20006999029544384,0.3338661313208048,0.22682921850051604,0.2669680608081243
2015-11-01,7.918421130640168,17.412787316647254,0.01682489539429377,0.0033015321257293673,0.205719752221348,0.334984099396198,0.23157262165631803,0.270351925808773
