date,USD_spread,KHR_spread,lambda_usd_R40,lambda_khr_R40,PD_usd_R30,PD_usd_R40,PD_usd_R50,PD_khr_R30,PD_khr_R40,PD_khr_R50
2013-01-01,11.301030278182909,23.53548597937094,0.1883505046363818,0.3922580996561823,0.14908521426019072,0.17167567517081628,0.20229833559610078,0.28553497153591734,0.3244702625346434,0.37544115069909967
2013-02-01,11.246529509270909,23.732448776870477,0.18744215848784848,0.39554081294784127,0.1484224489978193,0.17092292813494303,0.201428354454379,0.287542474911167,0.32668419713830565,0.37789660834898753
2013-03-01,10.8560204793155,23.80256625487798,0.18093367465525834,0.3967094375812997,0.14365847691839995,0.1655092952559778,0.1951669461447194,0.2882557708171217,0.3274705909825205,0.37876840334310236
2013-04-01,9.65353201058136,24.1228550640051,0.160892200176356,0.40204758440008503,0.12882081514804344,0.14861615481118795,0.1755762653849774,0.2915049561871982,0.33105108659973914,0.3827351552819753
2013-05-01,9.296078516293916,23.937022471518603,0.15493464193823192,0.39895037452531007,0.12436077953355162,0.14352884705111335,0.16966128437691907,0.28962157919088616,0.32897599958825297,0.3804367281741764
2013-06-01,9.191233487176886,24.061462416770137,0.15318722478628144,0.4010243736128356,0.12304827657504469,0.14203092630325032,0.16791831986759187,0.2908833066749439,0.3303662605544796,0.3819767793329366
2013-07-01,10.740885271146272,23.68699782333392,0.17901475451910454,0.3947832970555653,0.14224881708958703,0.16390643685242257,0.1933115182899131,0.28707972649816893,0.3261739564838143,0.377330847397221
2013-08-01,4.972915913665141,23.296102030710458,0.08288193189441902,0.3882683671785076,0.06857690795655891,0.07954018224831805,0.09467231529679887,0.28308748242835047,0.3217696959145595,0.3724437939632763
2013-09-01,8.15451254425645,23.355459816023917,0.13590854240427416,0.3892576636003986,0.10996370514056109,0.12707753577211245,0.15048548448221155,0.2836951438860442,0.32244033494251734,0.37318835884960533
2013-10-01,6.732695609992907,24.036691673926725,0.11221159349988179,0.40061152789877874,0.09170073334574858,0.10614489644055858,0.12598165356267066,0.2906323287388304,0.3300897480605901,0.38167052559246584
2013-11-01,7.474610350299754,24.02029315427324,0.12457683917166257,0.4003382192378873,0.10127676250222906,0.11712958027176334,0.1388548511074652,0.29046612956231965,0.32990663076408344,0.3814676985728872
2013-12-01,5.864966352265869,24.273356747116143,0.09774943920443115,0.40455594578526904,0.08037125976172865,0.0931238971130437,0.11068104389605238,0.29302660119392554,0.33272694950917525,0.38459034974347417
2014-01-01,6.721751701990656,23.651351301630125,0.1120291950331776,0.3941891883605021,0.0915587173357828,0.10598184377038711,0.12579032909754728,0.28671658935901045,0.3257735116302952,0.37688676932839427
2014-02-01,10.889998701788668,24.24145839034962,0.18149997836314447,0.404024306505827,0.14407404694765213,0.16598173665098792,0.19571369627885438,0.2927043664983846,0.3323721066295725,0.3841976133487093
2014-03-01,10.722068091864838,23.938160017901374,0.17870113486441397,0.39896933363168957,0.142018208126793,0.1636441803556129,0.1930078691195961,0.28963312321712964,0.3289887214830617,0.38045082365300853
2014-04-01,10.66727372189083,23.192449093445155,0.17778789536484715,0.3865408182240859,0.1413463370309347,0.16288003831618247,0.1921230118484749,0.2820251233863771,0.3205970072149613,0.37114148366570276
2014-05-01,8.815048495486131,23.373801435829453,0.14691747492476886,0.38956335726382424,0.11832278929816775,0.1366347762434833,0.16163437746325415,0.28388280774648644,0.32264742898343746,0.3734182514972253
2014-06-01,9.049764792029157,22.815767238963467,0.15082941320048596,0.3802627873160578,0.12127418138622248,0.14000561016237711,0.16556071597802735,0.2781511651218984,0.31631827728122686,0.3663860012753587
2014-07-01,9.376603387513663,22.62566022390175,0.15627672312522772,0.37709433706502915,0.1253674966022753,0.14467752988746285,0.17099746649207315,0.27618809312557224,0.31414863036119467,0.36397232629765564
2014-08-01,9.189723837413029,23.02415652358111,0.1531620639568838,0.38373594205968514,0.12302936365735795,0.14200933881818023,0.16789319645007972,0.2802969062168488,0.31868869091012997,0.36902127319476596
2014-09-01,9.39583718050134,21.518737603152815,0.156597286341689,0.3586456267192136,0.12560778502478864,0.14495167086748895,0.17131630242621299,0.2646513490366368,0.3013781195820676,0.34973463922921466
2014-10-01,9.33077686348708,20.736278516198137,0.15551294772478466,0.3456046419366356,0.12479471817053711,0.14402400608441213,0.17023731210255377,0.25638551980801216,0.2922077368245717,0.33947847745777704
2014-11-01,8.39805426728055,20.557181369346782,0.1399675711213425,0.34261968948911303,0.11305490993859146,0.13061357183134104,0.15461326802293884,0.2544805233976192,0.29009185424285533,0.3371082846418372
2014-12-01,8.049432763224917,17.724083307517976,0.13415721272041528,0.29540138845863295,0.10862663298309017,0.12554742127242302,0.14869827115468537,0.22368832011912898,0.2557671989516658,0.29846302065293984
2015-01-01,10.44272197804866,20.840298123958,0.174045366300811,0.34733830206596666,0.13858745463532585,0.15974122263870327,0.18848664871359022,0.2574897061482415,0.29343374500326724,0.3408511928633361
2015-02-01,10.833552799608764,20.39545620492744,0.18055921332681274,0.339924270082124,0.1433835755599312,0.16519675224412023,0.19480521025171604,0.2527561141630189,0.2881757728882407,0.33496068787661537
2015-03-01,11.131749220854998,20.491832190989225,0.18552915368091663,0.34153053651648707,0.14702495617912303,0.16933538170331774,0.19959304300865632,0.2537842114917481,0.2893182344569436,0.3362413296385035
2015-04-01,10.444653320794217,20.550248020206908,0.17407755534657027,0.3425041336701151,0.1386112212056062,0.15976826933163146,0.18851799431667382,0.254406677643093,0.29000981548572247,0.33701635707423505
2015-05-01,10.143359549667808,20.17134565484946,0.1690559924944635,0.336189094247491,0.13489564388873054,0.15553838145025256,0.1836133422728301,0.25035991985966066,0.2855120125269234,0.3319731509716415
2015-06-01,9.724302791268563,20.349693847870373,0.16207171318780939,0.3391615641311729,0.12970114193482174,0.1496197811228247,0.17674234217496843,0.2522674452828193,0.2876326532202186,0.334351733918272
2015-07-01,9.525756672927416,19.95990797360191,0.15876261121545693,0.3326651328933652,0.12722914555339715,0.14680112522545374,0.1734667506722587,0.24809218011051537,0.28298974289091205,0.3291422486365919
