Date,KHR_Term_Deposits,KHR_Term_Loans,USD_Term_Deposits,USD_Term_Loans,spread_usd,spread_khr
2013-01-01,6.203494746764216,29.738980726135157,3.2400621000258782,14.541092378208786,11.301030278182907,23.53548597937094
2013-02-01,6.029432819479621,29.761881596350097,3.341841211207196,14.588370720478103,11.246529509270907,23.732448776870477
2013-03-01,6.0510769600402465,29.85364321491823,3.2766676324012116,14.132688111716712,10.8560204793155,23.80256625487798
2013-04-01,5.881582338648283,30.004437402653384,3.2539169520913194,12.90744896267268,9.65353201058136,24.1228550640051
2013-05-01,6.114561872310988,30.05158434382959,3.465238064608821,12.761316580902736,9.296078516293916,23.937022471518603
2013-06-01,5.956353228520876,30.01781564529101,3.4469344248569893,12.638167912033875,9.191233487176886,24.061462416770134
2013-07-01,6.35747794978812,30.04447577312204,3.2771635565217165,14.01804882766799,10.740885271146272,23.686997823333922
2013-08-01,5.599168763091479,28.895270793801934,3.3261870581705404,8.299102971835682,4.972915913665141,23.296102030710458
2013-09-01,5.716263045782563,29.07172286180648,3.139246756361917,11.293759300618367,8.15451254425645,23.355459816023917
2013-10-01,5.950128217524172,29.986819891450896,3.5352667098975132,10.26796231989042,6.732695609992907,24.036691673926725
2013-11-01,5.643105191114724,29.663398345387964,3.2431755756933014,10.717785925993056,7.474610350299754,24.02029315427324
2013-12-01,5.416818033417569,29.690174780533717,3.300461222171918,9.165427574437787,5.864966352265869,24.273356747116146
2014-01-01,5.786695832908422,29.438047134538547,3.1060558705550685,9.827807572545725,6.721751701990656,23.651351301630125
2014-02-01,5.153449078268286,29.39490746861791,3.2469435984303368,14.136942300219005,10.889998701788668,24.24145839034962
2014-03-01,5.43526208550581,29.373422103407183,3.4131097174158187,14.135177809280655,10.722068091864838,23.938160017901374
2014-04-01,6.266271284377519,29.458720377822672,3.2188325697269553,13.886106291617784,10.66727372189083,23.192449093445155
2014-05-01,6.302690047530171,29.676491483359623,3.511186048193845,12.326234543679975,8.815048495486131,23.373801435829453
2014-06-01,6.084667467942928,28.900434706906395,3.2173541266076326,12.267118918636788,9.049764792029155,22.815767238963467
2014-07-01,6.29125161362232,28.916911837524072,3.2479609262953986,12.624564313809062,9.376603387513663,22.625660223901754
2014-08-01,5.2428227948403325,28.26697931842144,3.4291051194095443,12.61882895682257,9.189723837413027,23.02415652358111
